"from_n","to_n","from","to","m","km","miles","seconds","minutes","hours"
NA,NA,"","","","","","","",""
NA,NA,"","","","","","","",""
"Southern Cross Station, Collins Street, Docklands VIC","Southern Cross Station, Collins Street, Docklands VIC","134 Spencer St, Melbourne VIC 3000, Australia","134 Spencer St, Melbourne VIC 3000, Australia","0","0","0","0","0","0"
"Southern Cross Station, Collins Street, Docklands VIC","Phillip Island Nature Park, Summerlands, Victoria","134 Spencer St, Melbourne VIC 3000, Australia","Unnamed Road, Cape Woolamai VIC 3925, Australia","128676","128.676","79.9592664","5642","94.0333333333333","1.56722222222222"
"Southern Cross Station, Collins Street, Docklands VIC","Otway Fly Treetop Adventures, Phillips Track, Weeaproinah VIC","134 Spencer St, Melbourne VIC 3000, Australia","100 Minchinton Rd, Weeaproinah VIC 3237, Australia","198070","198.07","123.080698","8743","145.716666666667","2.42861111111111"
"Southern Cross Station, Collins Street, Docklands VIC","Sovereign Hill, Golden Point VIC","134 Spencer St, Melbourne VIC 3000, Australia","Sovereign Hill, Golden Point VIC 3350, Australia","113997","113.997","70.8377358","4831","80.5166666666667","1.34194444444444"
"Southern Cross Station, Collins Street, Docklands VIC","Puffing Billy Railway, Old Monbulk Road, Belgrave VIC","134 Spencer St, Melbourne VIC 3000, Australia","24 Old Monbulk Rd, Belgrave VIC 3160, Australia","48303","48.303","30.0154842","2810","46.8333333333333","0.780555555555556"
"Southern Cross Station, Collins Street, Docklands VIC","Healesville Sanctuary, Healesville VIC","134 Spencer St, Melbourne VIC 3000, Australia","25 Glen Eadie Ave, Badger Creek VIC 3777, Australia","67130","67.13","41.714582","4459","74.3166666666667","1.23861111111111"
"Southern Cross Station, Collins Street, Docklands VIC","Gum San Chinese Heritage Centre, Lambert Street, Ararat VIC","134 Spencer St, Melbourne VIC 3000, Australia","96 Lambert St, Ararat VIC 3377, Australia","204593","204.593","127.1340902","7991","133.183333333333","2.21972222222222"
"Southern Cross Station, Collins Street, Docklands VIC","Central Deborah Gold Mine, Violet Street, Bendigo VIC","134 Spencer St, Melbourne VIC 3000, Australia","77 Violet St, Bendigo VIC 3550, Australia","152307","152.307","94.6435698","6263","104.383333333333","1.73972222222222"
"Southern Cross Station, Collins Street, Docklands VIC","Wilsons Promontory National Park, Wilsons Promontory VIC","134 Spencer St, Melbourne VIC 3000, Australia","Five Mile Rd, Wilsons Promontory VIC 3960, Australia","215896","215.896","134.1577744","10222","170.366666666667","2.83944444444444"
"Southern Cross Station, Collins Street, Docklands VIC","12 Apostles Visitor Centre, Princetown VIC","134 Spencer St, Melbourne VIC 3000, Australia","699 Fords Rd, Princetown VIC 3269, Australia","221232","221.232","137.4735648","9372","156.2","2.60333333333333"
NA,NA,"","","","","","","",""
"Southern Cross Station, Collins Street, Docklands VIC","Southern Cross Station, Collins Street, Docklands VIC","134 Spencer St, Melbourne VIC 3000, Australia","134 Spencer St, Melbourne VIC 3000, Australia","0","0","0","0","0","0"
"Southern Cross Station, Collins Street, Docklands VIC","Phillip Island Nature Park, Summerlands, Victoria","134 Spencer St, Melbourne VIC 3000, Australia","Unnamed Road, Cape Woolamai VIC 3925, Australia","128676","128.676","79.9592664","5642","94.0333333333333","1.56722222222222"
"Southern Cross Station, Collins Street, Docklands VIC","Otway Fly Treetop Adventures, Phillips Track, Weeaproinah VIC","134 Spencer St, Melbourne VIC 3000, Australia","100 Minchinton Rd, Weeaproinah VIC 3237, Australia","198070","198.07","123.080698","8743","145.716666666667","2.42861111111111"
"Southern Cross Station, Collins Street, Docklands VIC","Sovereign Hill, Golden Point VIC","134 Spencer St, Melbourne VIC 3000, Australia","Sovereign Hill, Golden Point VIC 3350, Australia","113997","113.997","70.8377358","4831","80.5166666666667","1.34194444444444"
"Southern Cross Station, Collins Street, Docklands VIC","Puffing Billy Railway, Old Monbulk Road, Belgrave VIC","134 Spencer St, Melbourne VIC 3000, Australia","24 Old Monbulk Rd, Belgrave VIC 3160, Australia","48303","48.303","30.0154842","2810","46.8333333333333","0.780555555555556"
"Southern Cross Station, Collins Street, Docklands VIC","Healesville Sanctuary, Healesville VIC","134 Spencer St, Melbourne VIC 3000, Australia","25 Glen Eadie Ave, Badger Creek VIC 3777, Australia","67130","67.13","41.714582","4459","74.3166666666667","1.23861111111111"
"Southern Cross Station, Collins Street, Docklands VIC","Gum San Chinese Heritage Centre, Lambert Street, Ararat VIC","134 Spencer St, Melbourne VIC 3000, Australia","96 Lambert St, Ararat VIC 3377, Australia","204593","204.593","127.1340902","7991","133.183333333333","2.21972222222222"
"Southern Cross Station, Collins Street, Docklands VIC","Central Deborah Gold Mine, Violet Street, Bendigo VIC","134 Spencer St, Melbourne VIC 3000, Australia","77 Violet St, Bendigo VIC 3550, Australia","152307","152.307","94.6435698","6263","104.383333333333","1.73972222222222"
"Southern Cross Station, Collins Street, Docklands VIC","Wilsons Promontory National Park, Wilsons Promontory VIC","134 Spencer St, Melbourne VIC 3000, Australia","Five Mile Rd, Wilsons Promontory VIC 3960, Australia","215896","215.896","134.1577744","10222","170.366666666667","2.83944444444444"
"Southern Cross Station, Collins Street, Docklands VIC","12 Apostles Visitor Centre, Princetown VIC","134 Spencer St, Melbourne VIC 3000, Australia","699 Fords Rd, Princetown VIC 3269, Australia","221232","221.232","137.4735648","9372","156.2","2.60333333333333"
"Phillip Island Nature Park, Summerlands, Victoria","Southern Cross Station, Collins Street, Docklands VIC","Unnamed Road, Cape Woolamai VIC 3925, Australia","134 Spencer St, Melbourne VIC 3000, Australia","128499","128.499","79.8492786","5658","94.3","1.57166666666667"
"Phillip Island Nature Park, Summerlands, Victoria","Phillip Island Nature Park, Summerlands, Victoria","Unnamed Road, Cape Woolamai VIC 3925, Australia","Unnamed Road, Cape Woolamai VIC 3925, Australia","0","0","0","0","0","0"
"Phillip Island Nature Park, Summerlands, Victoria","Otway Fly Treetop Adventures, Phillips Track, Weeaproinah VIC","Unnamed Road, Cape Woolamai VIC 3925, Australia","100 Minchinton Rd, Weeaproinah VIC 3237, Australia","324738","324.738","201.7921932","13724","228.733333333333","3.81222222222222"
