"names","lon","lat"
"Mackay, Queensland",149.1821469,-21.1424956
"Darwin, Northern Territory",130.8456418,-12.4634403
"Alice Springs, Northern Territory",133.8807471,-23.698042
"Geraldton, Western Australia",114.6149715,-28.7773715
"Perth, Western Australia",115.8604572,-31.9505269
"Bunbury, Western Australia",115.6396494,-33.325636
"Busselton, Western Australia",115.3500188,-33.6554927
"Albany, Western Australia",117.883959,-35.0275298
"Kalgoorlie-Boulder, Western Australia",121.466,-30.749
"Adelaide, South Australia",138.6007456,-34.9284989
"Mildura, Victoria",142.1245535,-34.2080167
"Bendigo, Victoria",144.2793906,-36.7570157
"Ballarat, Victoria",143.8502556,-37.5621587
"Mount Gambier, South Australia",140.7803529,-37.8284212
"Warrnambool, Victoria",142.4982086,-38.3686779
"Geelong, Victoria",144.3617186,-38.1499181
"Melton, Victoria",144.612,-37.677
"Launceston, Tasmania",147.1440875,-41.4332215
"Hobart, Tasmania",147.3271949,-42.8821377
"Devonport, Tasmania",146.3451775,-41.1770585
"Warragul, Victoria",145.9297824,-38.1537515
"Traralgon, Victoria",146.519786,-38.2033531
"Melbourne, Victoria",144.963056,-37.813611
"Shepparton, Victoria",145.4,-36.383333
"Albury, New South Wales",146.9135418,-36.0737293
"Wagga Wagga, New South Wales",147.3598323,-35.1081689
"Dubbo, New South Wales",148.6329645,-32.2315018
"Orange, New South Wales",149.1,-33.283333
"Bathurst, New South Wales",149.5775008,-33.4192822
"Canberra, Australian Capital Territory",149.1300092,-35.2809368
"Bowral - Mittagong, New South Wales",150.4196395,-34.4777073
"Nowra - Bomaderry, New South Wales",150.6,-34.883333
"Wollongong, New South Wales",150.8930607,-34.4278121
"Sydney, New South Wales",151.2092955,-33.8688197
"Central Coast, New South Wales",151.4435474,-33.3529519
"Newcastle, New South Wales",151.781667,-32.928333
"Tamworth, New South Wales",150.9320334,-31.092748
"Port Macquarie, New South Wales",152.9,-31.433333
"Coffs Harbour, New South Wales",153.1093922,-30.298612
"Lismore, New South Wales",153.2882876,-28.8093154
"Gold Coast, Queensland",153.4,-28.016667
"Toowoomba, Queensland",151.9506696,-27.5598212
"Brisbane, Queensland",153.0251235,-27.4697707
"Sunshine Coast, Queensland",153.066667,-26.65
"Hervey Bay, Queensland",152.7676633,-25.2881539
"Bundaberg Central, Queensland",152.3509714,-24.8669736
"Tannum Sands, Queensland",151.366667,-23.95
"Rockhampton, Queensland",150.510016,-23.3790772
"Cairns, Queensland",145.7780548,-16.9185514
"Townsville, Queensland",146.8169483,-19.2589635
"Mackay, Queensland",149.1821469,-21.1424956
