"names","lon","lat"
"Southern Cross Station, Collins Street, Docklands VIC",144.9527755,-37.8182848
"Otway Fly Treetop Adventures, Phillips Track, Weeaproinah VIC",143.4935902,-38.6224336
"12 Apostles Visitor Centre, Princetown VIC",143.1756455,-38.6724766
"Sovereign Hill, Golden Point VIC",143.866635,-37.5772129
"Gum San Chinese Heritage Centre, Lambert Street, Ararat VIC",142.9218106,-37.272105
"Central Deborah Gold Mine, Violet Street, Bendigo VIC",144.2689121,-36.7639085
"Wilsons Promontory National Park, Wilsons Promontory VIC",146.3333333,-38.9166667
"Phillip Island Nature Park, Summerlands, Victoria",145.350299,-38.5509219
"Puffing Billy Railway, Old Monbulk Road, Belgrave VIC",145.358328,-37.9066595
"Healesville Sanctuary, Healesville VIC",145.5308876,-37.6825187
"Southern Cross Station, Collins Street, Docklands VIC",144.9527755,-37.8182848
